NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
AMLODIL,ANTI-HIPERTENSIVOS,BESILATO DE ANLODIPINO
AMLOTESS,ANTI-HIPERTENSIVOS SIMPLES,BESILATO DE AMLODIPINA
AMLOVASC,ANTI-HIPERTENSIVOS,BESILATO DE ANLODIPINO
AMMY,ANTICONCEPCIONAIS,DROSPIRENONA
AMOME,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA,FUROATO DE MOMETASONA MONOIDRATADO
AMORA,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
AMOX-EMS,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRI-HIDRATADA
AMOXICILINA,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRI-HIDRATADA
AMOXICILINA,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRIHIDRATADA
AMOXICILINA,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA
AMOXICILINA,ANTIBIOTICOS SISTEMICOS SIMPLES,AMOXICILINA TRI-HIDRATADA
AMOXICILINA + CLAVULANATO DE POTASSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA +  CLAVULANATO DE POTÁSSIO
AMOXICILINA + CLAVULANATO DE POTASSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO
AMOXICILINA + CLAVULANATO DE POTÁSSIO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA +  CLAVULANATO DE POTÁSSIO
AMOXICILINA TRI-HIDRATADA,ANTIBIOTICOS SISTEMICOS SIMPLES,AMOXICILINA TRIHIDRATADA
AMOXICILINA TRIHIDRATADA,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRIHIDRATADA
AMOXICILINA TRIIDRATADA,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRI-HIDRATADA
AMOXICILINA+CLAVULANATO DE POTASSIO,ANTIBIOTICOS SISTEM -ASSOC  MEDIC  ENTRE ANTINFEC,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO
AMOXIL,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRIHIDRATADA
AMOXIMED,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRIHIDRATADA
AMPICILAB,PENICILINA DE AMPLO ESPECTRO,AMPICILINA +  AMPICILINA ANIDRA
AMPICILINA,PENICILINA DE AMPLO ESPECTRO,AMPICILINA
AMPICILINA,PENICILINA DE AMPLO ESPECTRO,AMPICILINA +  AMPICILINA ANIDRA
AMPICILINA BENZATINA+AMPICILIN,PENICILINA DE AMPLO ESPECTRO,
AMPICILINA SÓDICA,PENICILINA DE AMPLO ESPECTRO,AMPICILINA SÓDICA
AMPICILINA SÓDICA + SULBACTAM SÓDICA,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMPICILINA SÓDICA +  SULBACTAM SÓDICO
AMPICILINA SÓDICA + SULBACTAM SÓDICO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMPICILINA SÓDICA +  SULBACTAM SÓDICO
AMPLACILINA,PENICILINA DE AMPLO ESPECTRO,AMPICILINA ANIDRA
AMPLATIL,ANTINFECCIOSOS,AMPICILINA SÓDICA
AMPLICTIL,NEUROLEPTICOS,CLORIDRATO DE CLORPROMAZINA
AMPLIUM G,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS,NITRATO DE MICONAZOL +  TINIDAZOL
AMPLOSPEC,CEFALOSPORINAS,CEFTRIAXONA
AMPRAX,ANTI-HIPERTENSIVOS,CLORIDRATO DE PROPRANOLOL
AMYTRIL,ANTIDEPRESSIVOS,CLORIDRATO DE AMITRIPTILINA
ANA - FLEX,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA +  DIPIRONA
ANADOR,ANALGESICOS NAO NARCOTICOS,DIPIRONA MONOIDRATADA
ANAFRANIL,ANTIDEPRESSIVOS,CLORIDRATO DE CLOMIPRAMINA
ANANGOR,ANALGESICOS NARCOTICOS,CLORIDRATO DE TRAMADOL
ANASTROL,ANTINEOPLASICO,ANASTROZOL
ANASTROLIBBS,ANTINEOPLASICO,ANASTROZOL
ANASTROZOL,ANTINEOPLASICO,ANASTROZOL
ANCLORIC,ASSOCIACAO DE FARMACOS COM ACAO DIURETICA,CLORIDRATO DE AMILORIDA +  HIDROCLOROTIAZIDA
ANCORON,ANTIARRITMICOS,CLORIDRATO DE AMIODARONA
ANDANTOL,ANTIALERGICOS,CLORIDRATO DE ISOTIPENDIL
ANDES,ANTIDEPRESSIVOS,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO
ANDHORA,ANTIDEPRESSIVOS + OUTROS ANTIDEPRESSIVOS,CLORIDRATO DE TRAZODONA
ANDOLBA,ANESTESICOS LOCAIS,BENZOCAÍNA +  MENTOL +  TRICLOSANA
ANDRIODERMOL,ANTIMICOTICOS PARA USO TOPICO,HEXILRESORCINOL +  PROPIONATO DE SÓDIO +  UNDECILENATO DE SÓDIO +  ÁCIDO PROPIÔNICO +  ÁCIDO UNDECILÊNICO
ANDROCORTIL,GLICOCORTICOIDES SISTEMICOS,SUCCINATO SÓDICO DE HIDROCORTISONA
ANDROCUR,PROGESTAGENOS SIMPLES,ACETATO DE CIPROTERONA
ANDROFLOXIN,ANTIBIOTICOS SISTEMICOS SIMPLES,NORFLOXACINO
ANDROGEL,HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS,TESTOSTERONA
ANDROSTEN,ANDROGENOS SIMPLES + FITOTERAPICO SIMPLES,TRIBULUS TERRESTRIS L.
ANDRUM,ANTIGLAUCOMATOSOS,CLORIDRATO DE DORZOLAMIDA
ANEMIFER,ANTIANEMICOS SIMPLES,SULFATO FERROSO +  SULFATO FERROSO HEPTAIDRATADO
ANESEVO,ANESTESICOS GERAIS VOLATEIS E GASOSOS,SEVOFLURANO
ANESFENT,ANALGESICOS NARCOTICOS,CITRATO DE FENTANILA
ANESTALCON,ANESTESICOS LOCAIS,CLORIDRATO DE PROXIMETACAÍNA
ANESTÉSICO OCULUM,ANESTESICOS LOCAIS,CLORIDRATO DE FENILEFRINA +  CLORIDRATO DE TETRACAÍNA
ANESYN,ANESTESICOS LOCAIS,CLORIDRATO DE ROPIVACAÍNA
ANFORICIN B,ANTIBIOTICOS SISTEMICOS SIMPLES,ANFOTERICINA B
ANFUGINE,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS,NITRATO DE MICONAZOL +  TINIDAZOL
ANFUGITARIN,ANTIMICOTICOS PARA USO TOPICO,NITRATO DE MICONAZOL
ANGELIQ,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,DROSPIRENONA +  ESTRADIOL HEMI-HIDRATADO
ANGINO RUB,PRODUTOS PARA OROFARINGE,CLORIDRATO DE BENZIDAMINA
ANGIOPRIL,ANTI-HIPERTENSIVOS,MALEATO DE ENALAPRIL
ANGIOTENSIL HCT,ANTI-HIPERTENSIVOS,CANDESARTANA CILEXETILA +  HIDROCLOROTIAZIDA
ANGIPRESS,BETABLOQUEADORES SIMPLES,ATENOLOL
ANGIPRESS CD,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,ATENOLOL +  CLORTALIDONA
ANIDULAFUNGINA,ANTI-FUNGICOS,ANIDULAFUNGINA
ANLO,ANTI-HIPERTENSIVOS SIMPLES,BESILATO DE ANLODIPINO
ANLUSBED,ANTI-HIPERTENSIVOS SIMPLES,BESILATO DE ANLODIPINO
ANNITA,ANTIPARASITARIOS,NITAZOXANIDA
ANORO ELLIPTA,BRONCODILATADORES,BROMETO DE UMECLIDÍNIO +  TRIFENATATO DE VILANTEROL
ANSENTRON,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
ANSIODORON,MEDICAMENTOS DINAMIZADOS COMPOSTOS,AVENA SATIVA L. +  PASSIFLORA ALATA CURTIS +  VALERIANA OFFICINALIS L.
ANSIOLEX,ANSIOLITICOS SIMPLES,BROMAZEPAM
ANSIRAX,ANSIOLITICOS SIMPLES,LORAZEPAM
ANSITEC,ANSIOLITICOS SIMPLES,CLORIDRATO DE BUSPIRONA
ANTARA,ANTICONVULSIVANTES,LEVETIRACETAM
ANTIBREX,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,TOBRAMICINA
ANTIDIN,ANTIULCEROSOS,CLORIDRATO DE RANITIDINA
ANTIMAIS SÉPTICO,ANTISSEPTICO,CLORETO DE BENZETÔNIO +  CLORIDRATO DE LIDOCAÍNA MONOIDRATADA 
ANTITROMBINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,
ANTROFI,ESTROGENOS SIMPLES,PROMESTRIENO
ANTUX,ANTITUSSIGENOS SIMPLES,LEVODROPROPIZINA
ANULOV,ANTICONCEPCIONAIS,LEVONORGESTREL
AORTT,ANTI-HIPERTENSIVOS SIMPLES,CAPTOPRIL
APAXY,FITOTERAPICO SIMPLES,PASSIFLORA INCARNATA L.
APECIBINE,ANTINEOPLASICOS CITOTOXICOS,CAPECITABINA
APETIVAN BC,ESTIMULANTES DO APETITE,CLORIDRATO DE CIPROEPTADINA +  CLORIDRATO DE TIAMINA +  NICOTINAMIDA +  VITAMINA B2 +  VITAMINA B6 +  VITAMINA C
APETIVITON BC,ESTIMULANTES DO APETITE,CLORIDRATO DE CIPROEPTADINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  NICOTINAMIDA +  RIBOFLAVINA-5-FOSFATO DE SÓDIO +  ÁCIDO ASCÓRBICO
APEVITIN BC,ESTIMULANTES DO APETITE,CLORIDRATO DE CIPROEPTADINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  NICOTINAMIDA +  RIBOFLAVINA-5-FOSFATO DE SÓDIO +  ÁCIDO ASCÓRBICO
APIDRA,ANTIDIABETICOS,INSULINA GLULISINA
APIGUACO,EXPECTORANTES + FITOTERAPICO SIMPLES,MIKANIA GLOMERATA SPRENG.
APIXORD,ANTITROMBOTICO,APIXABANA
APLAUSE,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA,ACTAEA RACEMOSA L.
APRACUR,ANALGESICOS,DIPIRONA +  MALEATO DE CLORFENIRAMINA +  ÁCIDO ASCÓRBICO
APRACUR DUO,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CAFEÍNA +  MALEATO DE CLORFENIRAMINA +  DIPIRONA MONOIDRATADA
APRAZ,ANSIOLITICOS SIMPLES,ALPRAZOLAM
APRESOLINA,ANTI-HIPERTENSIVOS SIMPLES,CLORIDRATO DE HIDRALAZINA
APROVEL,ANTI-HIPERTENSIVOS SIMPLES,IRBESARTANA
APROZIDE,ANTI-HIPERTENSIVOS,HIDROCLOROTIAZIDA +  IRBESARTANA
ARACELI,ANTICONCEPCIONAIS,DESOGESTREL
ARACOR,ANTI-HIPERTENSIVOS SIMPLES,VALSARTANA
ARACOR ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,BESILATO DE ANLODIPINO +  VALSARTANA
ARACOR HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  VALSARTANA
ARADOIS,ANTI-HIPERTENSIVOS SIMPLES,LOSARTAN POTÁSSICO +  LOSARTANA POTÁSSICA
ARADOIS H,ANTI-HIPERTENSIVOS,HIDROCLOROTIAZIDA +  LOSARTANA POTÁSSICA
ARAMIN,HIPERTENSOR,HEMITARTARATO DE METARAMINOL
ARANESP,ANTIANEMICOS,ALFADARBEPOETINA
ARARTAN,ANTI-HIPERTENSIVOS,LOSARTANA POTÁSSICA
ARASID,ANTICONVULSIVANTES,TOPIRAMATO
ARAVA,ANTINFLAMATORIOS ANTIREUMATICOS,LEFLUNOMIDA
ARAZABI,ANTINEOPLASICO,ANASTROZOL
ARCALION,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SULBUTIAMINA
ARCOXIA,ANTINFLAMATORIOS ANTIREUMATICOS,ETORICOXIBE
ARDECTO,ANTIDIABETICOS,CLORIDRATO DE SAXAGLIPTINA DI-HIDRATADA +  PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO
ARDIRE XR,ANTIDEPRESSIVOS,CLORIDRATO DE VENLAFAXINA
AREBLAZ,BETABLOQUEADORES SIMPLES,ATENOLOL
AREMAZ,EXPECTORANTES + FITOTERAPICO SIMPLES,HEDERA HELIX L.
ARFLEX RETARD,ANTINFLAMATORIOS,NIMESULIDA
ARGEVIT C,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,ASPARTATO DE ARGININA +  ÁCIDO ASCÓRBICO
ARICILINA,PENICILINA G E DERIVADOS (BENZILPENICILINAS),BENZILPENICILINA POTÁSSICA
ARIFENICOL,CLORANFENICOL E ANALOGOS,SUCCINATO SÓDICO DE CLORANFENICOL
ARIMIDEX,ANTINEOPLASICO,ANASTROZOL
ARIPIPRAZOL,ANTIPSICOTICOS,ARIPIPRAZOL
ARISCORTEN,GLICOCORTICOIDES SISTEMICOS,HIDROCORTISONA
ARISTAB,ANTIPSICOTICOS,ARIPIPRAZOL
ARISTOPRAMIDA,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO
ARIXTRA,ANTITROMBOTICO,FONDAPARINUX SÓDICO
ARLIVRY,EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES,HEDERA HELIX L.
ARNICA DO MATO EC,FITOTERAPICO SIMPLES,SOLIDAGO MICROGLOSSA DC.
ARNICA GEL,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,ARNICA MONTANA L.
ARNICA PRÉPÓS,MEDICAMENTOS DINAMIZADOS COMPOSTOS,ARNICA MONTANA
ARNICA WELEDA,MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO,ARNICA MONTANA L.
ARODAP,ANTIASMATICOS,MONTELUCASTE DE SÓDIO
AROMASIN,ANTINEOPLASICO,EXEMESTANO
AROPAX,ANTIDEPRESSIVOS,CLORIDRATO DE PAROXETINA
ARPADOL,ANTINFLAMATORIOS ANTIREUMATICOS + FITOTERAPICO SIMPLES,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.
ARPAFITO,,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.
ARPATABS,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.
ARPYNFLAN,ANTINFLAMATORIOS ANTIREUMATICOS,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.
ARTELAC,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,HIPROMELOSE
ARTEMIDIS 35,ANTICONCEPCIONAIS,ACETATO DE CIPROTERONA +  ETINILESTRADIOL
ARTESUNATO +  MEFLOQUINA FARMANGUINHOS,ANTIMALARICOS,CLORIDRATO DE MEFLOQUINA +  ARTESUNATO
ARTICAINE,ANESTESICOS LOCAIS,CLORIDRATO DE ARTICAÍNA +  EPINEFRINA
ARTISAL,UNGUENTOS PERCUTANEOS E INALANTES,
ARTISS,PRODUTOS PARA USO EM CIRURGIA,FIBRINOGÊNIO +  TROMBINA +  FATOR XIII DE COAGULAÇÃO
ARTOGLICO,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,SULFATO DE GLICOSAMINA
ARTRINID,ANTINFLAMATORIOS ANTIREUMATICOS + CETOPROFENO,CETOPROFENO
ARTRITEC,ANTINFLAMATORIOS ANTIREUMATICOS,MELOXICAM
ARTRODAR,ANTINFLAMATORIOS ANTIREUMATICOS,DIACEREÍNA
ARTROLIVE,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,SULFATO DE CONDROITINA +  SULFATO DE GLICOSAMINA
ARTROSIL,ANTINFLAMATORIOS ANTIREUMATICOS,LISINATO DE CETOPROFENO
AS-MED,ANALGESICOS NAO NARCOTICOS,ÁCIDO ACETILSALICÍLICO
ASEA,ANTI-HIPERTENSIVOS,OLMESARTANA MEDOXOMILA
ASEA HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,HIDROCLOROTIAZIDA +  OLMESARTANA MEDOXOMILA
ASMAFIN,BRONCODILATADORES,AMINOFILINA
ASMANON,ANTIASMATICOS,FUMARATO DE CETOTIFENO
ASMOFEN,ANTIASMATICOS,FUMARATO DE CETOTIFENO
ASPARGIL C,VITAMINAS,ASPARTATO DE ARGININA +  ÁCIDO ASCÓRBICO
ASPARTOL,VITAMINAS,ASPARTATO DE ARGININA +  ÁCIDO ASCÓRBICO
ASPIRINA,ANALGESICOS NAO NARCOTICOS,ÁCIDO ACETILSALICILSALICÍLICO +  ÁCIDO ACETILSALICÍLICO
ASPIRINA C EFERVESCENTE,ANALGESICOS NAO NARCOTICOS,ÁCIDO ACETILSALICÍLICO +  ÁCIDO ASCÓRBICO
ASPIRINA PREVENT,ANTIAGREGANTE PLAQUETARIO,ÁCIDO ACETILSALICÍLICO
ASSERT,ANTIDEPRESSIVOS,CLORIDRATO DE SERTRALINA
ASTRO,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
ASTRO IV,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
ATACAND,ANTI-HIPERTENSIVOS SIMPLES,CANDESARTANA CILEXETILA
ATACAND HCT,ANTI-HIPERTENSIVOS,CANDESARTANA CILEXETILA +  HIDROCLOROTIAZIDA
ATAK,PENICILINA DE AMPLO ESPECTRO,AMOXICILINA TRI-HIDRATADA
ATAK CLAV,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO
ATELIDONA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,ATENOLOL +  CLORTALIDONA
ATELOP,ANTI-HIPERTENSIVOS SIMPLES,BESILATO DE LEVANLODIPINO
ATENEUM,BETABLOQUEADORES SIMPLES,ATENOLOL
ATENOCLOR,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,ATENOLOL +  CLORTALIDONA
ATENOLAB,BETABLOQUEADORES SIMPLES,ATENOLOL
ATENOLOL,BETABLOQUEADORES SIMPLES,ATENOLOL
ATENOLOL,ANTI-HIPERTENSIVOS SIMPLES,ATENOLOL
ATENOLOL + CLORTALIDONA,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,ATENOLOL +  CLORTALIDONA
ATENOPRESS,ANTI-HIPERTENSIVOS SIMPLES,ATENOLOL
ATENORESE,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,ATENOLOL +  CLORTALIDONA
ATENSINA,ANTI-HIPERTENSIVOS SIMPLES,CLORIDRATO DE CLONIDINA
ATEPRESS,BETABLOQUEADORES SIMPLES,ATENOLOL
ATEROGREL,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,BISSULFATO DE CLOPIDOGREL
ATEROMA,ANTILIPEMICOS,ATORVASTATINA CÁLCICA
ATESTO,ANDROGENOS SIMPLES,UNDECILATO DE TESTOSTERONA
ATIP,ANTIPSICOTICOS,HEMIFUMARATO DE QUETIAPINA
ATIP XR,ANTIPSICOTICOS,HEMIFUMARATO DE QUETIAPINA
ATLANSIL,ANTIARRITMICOS,CLORIDRATO DE AMIODARONA
ATOBACH,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,TACROLIMO MONOIDRATADO
ATORLESS,ANTILIPEMICOS,ATORVASTATINA CÁLCICA
ATORVASTATINA CALCICA,ANTILIPEMICOS,ATORVASTATINA CÁLCICA
ATORVASTATINA CÁLCICA,ANTILIPEMICOS,ATORVASTATINA CÁLCICA
ATOSSION,ANTITUSSIGENOS SIMPLES,DROPROPIZINA
ATRACE,ANALGESICOS NARCOTICOS,CLORIDRATO DE TRAMADOL +  PARACETAMOL
ATRED,ANTINEOPLASICO,PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO
ATROFARMA,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS,SULFATO DE ATROPINA
ATROFEM,ANALGESICOS NAO NARCOTICOS,IBUPROFENO
ATROPINA,MIDRIATICOS,SULFATO DE ATROPINA
ATROPION,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS,SULFATO DE ATROPINA
ATROVENT,BRONCODILATADORES,BROMETO DE IPRATRÓPIO
ATROVERAN DIP,ANALGESICOS NAO NARCOTICOS,DIPIRONA MONOIDRATADA
ATROVEX,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,BUTILBROMETO DE ESCOPOLAMINA +  DIPIRONA
ATTENZE,PSICOANALÉPTICOS,CLORIDRATO DE METILFENIDATO
ATTOSY,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA,ACETATO DE ATOSIBANA
ATURGYL,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE OXIMETAZOLINA
AUBAGIO,IMUNOMODULADOR,TERIFLUNOMIDA
AURIS-SEDINA,REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO,FENOL +  MENTOL
AUROTAZ-P,PENICILINAS PENICILINASE-RESISTENTES,PIPERACILINA SÓDICA +  TAZOBACTAM SÓDICO
AUSTEDO,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,DEUTETRABENAZINA
AVAL,ANTI-HIPERTENSIVOS SIMPLES,VALSARTANA
AVALOX,ANTIBIOTICOS SISTEMICOS SIMPLES,CLORIDRATO DE MOXIFLOXACINO
AVAMYS,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,FUROATO DE FLUTICASONA
AVASTIN,ANTINEOPLASICO,BEVACIZUMABE
AVAXIM,VACINAS,VÍRUS DA HEPATITE A PURIFICADO INATIVADO
AVIANT,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA
AVIANT EFE,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA +  SULFATO DE PSEUDOEFEDRINA
AVICIS,ANTIALOPECIA,ALFAESTRADIOL
AVIDE,ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA,RACECADOTRILA
AVIV,ANTIDEPRESSIVOS,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO
AVODART,INIBIDOR DA ALFA-REDUTASE,DUTASTERIDA
AXETIL CEFUROXIMA,ANTINFECCIOSOS,AXETIL CEFUROXIMA
AXETIL CEFUROXIMA,ANTINFECCIOSOS,AXETILCEFUROXIMA
AXETILCEFUROXIMA,CEFALOSPORINAS,AXETILCEFUROXIMA
AXETILCEFUROXIMA,ANTINFECCIOSOS,AXETILCEFUROXIMA
AXIFLENNID,ANTINFLAMATORIOS ANTIREUMATICOS,CETOPROFENO
AXONIUM,ANTIPSICOTICOS,OLANZAPINA
AZANEM,ANTIBIOTICOS SISTEMICOS SIMPLES,AZTREONAM
AZELAN,PRODUTOS ANTI-ACNE,ÁCIDO AZELAICO
AZENTEX,"BIFOSFONATOS , ASSOCIAÇÕES",ÁCIDO ZOLEDRÔNICO MONOIDRATADO
AZEUS,ANTIBIOTICOS SISTEMICOS SIMPLES,AZTREONAM
AZI,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA
AZI,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZICIN,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZINOSTIL,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA
AZITROGRAN,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZITROGRAN,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA
AZITROLAB,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZITROMED,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZITROMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA
AZITROMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZITROMICINA DIIDRATADA,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZITROMICINA MONOIDRATADA 500MG,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA
AZITROPHAR,ANTIBIOTICOS SISTEMICOS SIMPLES,AZITROMICINA DI-HIDRATADA
AZNITE,ANTIALERGICOS,CLORIDRATO DE AZELASTINA
AZOPT,ANTIGLAUCOMATOSOS,BRINZOLAMIDA
AZORGA,ANTIGLAUCOMATOSOS,BRINZOLAMIDA +  MALEATO DE TIMOLOL
AZOX,ANTIPARASITARIOS,NITAZOXANIDA
AZTREONAM,ANTIBIOTICOS SISTEMICOS SIMPLES,AZTREONAM
AZUKON MR,ANTIDIABETICOS,GLICAZIDA
AZULFIN,ANTINFLAMATORIOS,SULFASSALAZINA
Abelcet,ANTI-FUNGICOS,ANFOTERICINA B
Abraxane,AGENTES ANTINEOPLÁSICOS,PACLITAXEL
Acebrofilina,BRONCODILATADORES,ACEBROFILINA
Aceclo-gran,ANTINFLAMATORIOS,ACECLOFENACO
Acetato de Dexametasona,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,ACETATO DE DEXAMETASONA
Acetato de Octreotida,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,ACETATO DE OCTREOTIDA
"Acetato de Zinco 0,5 mEq/mL",SOLUÇÕES QUE AJUSTAM O BALANÇO ELETROLÍTICO,ACETATO DE ZINCO
Acetato de clormadinona + etinilestradiol,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
Acetilcisteina,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA
Acetilcisteína,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA
Aciclovir,ANTIVIROTICOS,ACICLOVIR
Acido Mefenamico,ANTINFLAMATORIOS ANTIREUMATICOS,ÁCIDO MEFENÂMICO
Acitretina,CERATOLITICOS E CERATOPLASTICOS,ACITRETINA
Actemra,ANTINFLAMATORIOS ANTIREUMATICOS,TOCILIZUMABE
Adakveo,OUTROS AGENTES HEMATOLÓGICOS,CRIZANLIZUMABE
Adempas®,ANTI-HIPERTENSIVOS,RIOCIGUATE
Advil 12h,ANALGESICOS NAO NARCOTICOS,IBUPROFENO
Agreg,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,BISSULFATO DE CLOPIDOGREL
Akineton,ANTIPARKINSONIANOS,CLORIDRATO DE BIPERIDENO
Albiomin,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALBUMINA HUMANA
Alburex 20,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS,ALBUMINA HUMANA
